7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#154]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#144]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#144]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#124]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#124]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#125]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#125]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#126]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#126]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#127]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#127]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#130]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#130]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#132]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#132]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#133]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#133]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#134]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#134]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#135]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#135]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#136]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#136]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#143]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#143]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#138]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#138]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#165]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#165]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#140]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#140]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#145]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#145]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#146]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#146]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#148]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#148]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#149]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#149]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#150]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#150]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#151]
7834553 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#151]
7834553 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#152]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#152]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#155]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#155]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#156]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#156]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#161]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#161]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#162]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#162]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#164]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#164]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#163]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#163]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#178]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#178]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#179]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#179]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#180]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#180]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#181]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#181]
7834554 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#182]
7834554 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#182]
7834554 DEBUG [2015-06-16 17:46:04]  initializing non-lazy collections
7834554 DEBUG [2015-06-16 17:46:04]  aggressively releasing JDBC connection
7834554 DEBUG [2015-06-16 17:46:04]  Closing JPA EntityManager
7834554 DEBUG [2015-06-16 17:46:04]  Creating new EntityManager for shared EntityManager invocation
7834555 DEBUG [2015-06-16 17:46:04]  opened session at timestamp: 14344479644
7834555 DEBUG [2015-06-16 17:46:04]  about to open PreparedStatement (open PreparedStatements: 0, globally: 0)
7834555 DEBUG [2015-06-16 17:46:04]  opening JDBC connection
7834555 DEBUG [2015-06-16 17:46:04]  000523 (01/03/00) - Connection #7 served
7834555 DEBUG [2015-06-16 17:46:04]  
    select
